id,catalog_number,description
2501494,UKFL211E,FYH UKFL211E ND TB 2B FLNG ADPTR 1(7/815/16) 2 50MM
2501493,UKFL210J,FYH UKFL210J
2501492,UKFL210EL3,FYH UKFL210EL3 ND TB 2B FL 3-LIP (ADAPTER) 1(11/163/4)45MM
2501491,UKFL210E,FYH UKFL210E ND TB 2B FLNG (ADAPTER) 1(11/163/4)45MM
2501490,UKFL209JH309,FYH UKFL209JH309 ND TB 2B inJin HSG + H 309 (40MM) ADP
2501489,UKFL209J,FYH UKFL209J UK UNIT WITH J-STYLE HOUSING
2501488,UKFL209EH309,FYH UKFL209EH309 ND TB 2B FLANGE + H 309 (40MM) ADAPTER
2501487,UKFL209EH2309,FYH UKFL209EH2309 ND TB 2B FLANGE + H2309 (40MM) ADAPTER
2501486,UKFL209E1,FYH UKFL209E1 40MM NDTB 2BLT GRVED 4 COVER (ADAPTOR)
2501485,UKFL209E,FYH UKFL209E ND TB 2B FLNG ADPTR 1(7/161/25/8) 40MM
2501484,UKFL208J,FYH UKFL208J 35 MM ND TB 2BLT. FLANGE **JIS TYPE***
2501483,UKFL208EH308,FYH UKFL208EH308 ND TB 2B FLANGE + H308 (35MM) ADAPTER
2501482,UKFL208EH2308,FYH UKFL208EH2308 ND TB 2B FLANGE + H2308 (35MM) ADAPTER
2501481,UKFL208E,FYH UKFL208E ND TB 2B FLNG (ADAPTER) 1(1/43/8) 35MM
2501480,UKFL207JN2,FYH UKFL207JN2
2501479,UKFL207J,FYH UKFL207J
2501478,UKFL207EN2,FYH UKFL207EN2 ND TB 2BLT. FL ADA WITH 90 DEG.ZERK
2501477,UKFL207E3,FYH UKFL207E3 TB 2B FL (1 1/8 1 3/16 30MM) MACHINE/TAP FOR COVER
2501476,UKFL207E1,FYH UKFL207E1 ND TB 2B FLNG (ADAPTER) 1(1/83/16) 30MM
2501475,UKFL207E,FYH UKFL207E ND TB 2B FLNG (ADAPTER) 1(1/83/16) 30MM
2501474,UKFL206JN2,FYH UKFL206JN2 30 MM TB 2 BLT. FL *JIS*WITH 90 DEG.ZERK
2501473,UKFL206J,FYH UKFL206J 30MM TB 2B FLANGE UNIT **J-TYPE**
2501472,UKFL206EN2,FYH UKFL206EN2 ND TB 2 BLT FLANGE ADA WITH 90 DEG. ZERK
2501471,UKFL206EM,FYH UKFL206EM 30mm NDTB 2BLT.FL DRILLED .531(17/32)
2501470,UKFL206EL3,FYH UKFL206EL3 ND TB 2B FL *TRIPLE LIP SEALS*
2501469,UKFL206E1,FYH UKFL206E1 ND TB 2B FLNG (ADPTR) MACHINED FOR COVER
2501468,UKFL206E,FYH UKFL206E ND TB 2B FLNG (ADPTR) 7/815/161 25MM
2501467,UKFL205ENP,FYH UKFL205ENP ND TB 2B FLANGE NICKEL PLATED UNIT
2501466,UKFL205E1,FYH UKFL205E1 ND TB 2B FLNG (ADAPTER) 3/4 20MM BORE
2501465,UKFL205E,FYH UKFL205E ND TB 2B FLNG (ADAPTER) 3/4 20MM BORE
2501464,UKFL205BKPL,FYH UKFL205BKPL 25MM TB 2B FLNG WITH BLACK PLASTIC HSG
2501463,UKFCX213,FYH UKFCX213 FCX 13 + UK 213
2501462,UKFCX211,FYH UKFCX211 FCX 10 + UK 211
2501461,UKFCX210E3,FYH UKFCX210E3 FCX 09E3 + UK 210
2501460,UKFCX210,FYH UKFCX210 FCX 09 + UK 210
2501459,UKFCX209,FYH UKFCX209 FCX 08 + UK 209
